feature                   log-likelihood  sense        
-------------------------------------------------------
antitrust                 4.01657         product        
clearance                 4.01657         product        
boost                     4.01657         product        
stake                     4.01657         product        
furniture                 4.01657         product        
operation                 4.01657         product        
note                      4.01657         product        
awkward                   4.01657         product        
fit                       4.01657         product        
Maytag                    4.01657         product        
appliance                 4.01657         product        
Lynch                     4.01657         product        
Swift                     4.01657         product        
meats                     4.01657         product        
Hunt                      4.01657         product        
tomato                    4.01657         product        
Wesson                    4.01657         product        
cooking                   4.01657         product        
car                       4.01657         product        
Stocking                  4.01657         product        
GE                        4.01657         product        
medical                   4.01657         product        
Milwaukee                 4.01657         product        
Household                 4.01657         phone          
scandal                   4.01657         phone          
partly                    4.01657         product        
enlarging                 4.01657         product        
mart                      4.01657         product        
stores                    4.01657         product        
playing                   4.01657         product        
catch-up                  4.01657         product        
computerization           4.01657         product        
Philadelphia-based        4.01657         phone          
telecommunications        4.01657         phone          
clout                     4.01657         product        
completely                4.01657         product        
derail                    4.01657         product        
retailers                 4.01657         product        
demands                   4.01657         product        
balance                   4.01657         product        
Mikita                    4.01657         product        
researcher                4.01657         product        
Data                      4.01657         product        
Framingham                4.01657         product        
Mass                      4.01657         product        
Federal                   4.01657         phone          
Commission                4.01657         phone          
restricted                4.01657         phone          
landing                   4.01657         product        
gear                      4.01657         product        
flight                    4.01657         product        
controls                  4.01657         product        
bottling                  4.01657         product        
Kaye                      4.01657         product        
denies                    4.01657         product        
suit                      4.01657         product        
Sony                      4.01657         product        
marketplace               4.01657         product        
motor-racing              4.01657         product        
sports                    4.01657         product        
Goodrich                  4.01657         product        
T/A                       4.01657         product        
R                         4.01657         product        
Uniroyal                  4.01657         product        
Tire                      4.01657         product        
Akron                     4.01657         product        
Yokohama                  4.01657         product        
launch                    4.01657         product        
deluxe                    4.01657         product        
candy                     4.01657         product        
Nestle                    4.01657         product        
Takada                    4.01657         phone          
seemed                    4.01657         phone          
pleased                   4.01657         phone          
produce                   4.01657         product        
processors                4.01657         product        
written                   4.01657         product        
"over"                    4.01657         product        
motors                    4.01657         product        
lift                      4.01657         product        
cargo                     4.01657         product        
items                     4.01657         product        
Toy                       4.01657         product        
Corsica                   4.01657         product        
prompted                  4.01657         product        
idle                      4.01657         product        
plants                    4.01657         product        
build                     4.01657         product        
automobiles               4.01657         product        
forgot                    4.01657         phone          
transcontinental          4.01657         phone          
My                        4.01657         phone          
wife                      4.01657         phone          
spent                     4.01657         phone          
overseeing                4.01657         product        
risked                    4.01657         product        
Apple                     4.01657         product        
subsidize                 4.01657         product        
profits                   4.01657         product        
older                     4.01657         product        
Moog                      4.01657         product        
Carleton                  4.01657         product        
precision                 4.01657         product        
pneumatic                 4.01657         product        
components                4.01657         product        
FR                        4.01657         product        
Burry                     4.01657         product        
Kidder                    4.01657         product        
Peabody                   4.01657         product        
"These                    4.01657         product        
Tandy                     4.01657         product        
Dell                      4.01657         product        
clones                    4.01657         product        
anxious                   4.01657         product        
upset                     4.01657         product        
declared                  4.01657         product        
look-alikes               4.01657         product        
great                     4.01657         product        
sellers                   4.01657         product        
Breeden                   4.01657         phone          
hadn                      4.01657         phone          
noticed                   4.01657         phone          
desk                      4.01657         phone          
Hullo                     4.01657         phone          
hullo                     4.01657         phone          
Don                       4.01657         phone          
Marshall                  4.01657         product        
Field                     4.01657         product        
challenged                4.01657         product        
refining                  4.01657         product        
Staff                     4.01657         phone          
passed                    4.01657         phone          
plus                      4.01657         product        
chemical                  4.01657         product        
reagents                  4.01657         product        
analysis                  4.01657         product        
synthesis                 4.01657         product        
genes                     4.01657         product        
proteins                  4.01657         product        
academic                  4.01657         product        
laboratories              4.01657         product        
Citrus                    4.01657         product        
Hill                      4.01657         product        
orange                    4.01657         product        
Pringles                  4.01657         product        
potato                    4.01657         product        
chips                     4.01657         product        
struggled                 4.01657         product        
Ralston                   4.01657         product        
Purina                    4.01657         product        
combining                 4.01657         product        
Nabisco                   4.01657         product        
cereal                    4.01657         product        
packaged-food             4.01657         product        
frozen-cheese             4.01657         product        
dinners                   4.01657         product        
quietly                   4.01657         product        
folded                    4.01657         product        
Well                      4.01657         product        
Earlier                   4.01657         product        
Malcolm                   4.01657         product        
Forbes                    4.01657         product        
magazine                  4.01657         product        
editor-in-chief           4.01657         product        
purple                    4.01657         product        
Harley                    4.01657         product        
celebrate                 4.01657         product        
"Elizabeth                4.01657         product        
Taylor                    4.01657         product        
Passion                   4.01657         product        
FEMA                      4.01657         phone          
July                      4.01657         product        
Still                     4.01657         product        
excess                    4.01657         product        
crowding                  4.01657         product        
lots                      4.01657         product        
hinder                    4.01657         product        
efforts                   4.01657         product        
-model                    4.01657         product        
fall                      4.01657         product        
financing                 4.01657         product        
incentives                4.01657         product        
BRIEFS:                   4.01657         product        
shoes                     4.01657         product        
Thorpe                    4.01657         product        
Shoe                      4.01657         product        
"O                        4.01657         product        
hiring                    4.01657         phone          
tellers                   4.01657         phone          
require                   4.01657         product        
Lexus                     4.01657         product        
totally                   4.01657         product        
weapon                    4.01657         product        
anti-submarine            4.01657         product        
helicopters               4.01657         product        
planes                    4.01657         product        
surface                   4.01657         product        
vessels                   4.01657         product        
Mark-                     4.01657         product        
awarded                   4.01657         product        
deal                      4.01657         product        
broader                   4.01657         product        
financially               4.01657         product        
vulnerable                4.01657         product        
anyone                    4.01657         product        
covers                    4.01657         product        
anonymous                 4.01657         product        
dispense                  4.01657         product        
despite                   4.01657         product        
adult                     4.01657         product        
diaper                    4.01657         product        
inclusion                 4.01657         product        
Alkaril                   4.01657         product        
Chemicals                 4.01657         product        
GAF                       4.01657         product        
fourth                    4.01657         product        
Earnings                  4.01657         product        
building-materials        4.01657         product        
though                    4.01657         product        
DeBartolo                 4.01657         product        
seven-year                4.01657         product        
option                    4.01657         product        
giving                    4.01657         product        
rights                    4.01657         product        
refusal                   4.01657         product        
Jordan                    4.01657         product        
Marsh-New                 4.01657         product        
England                   4.01657         product        
Bon                       4.01657         product        
Marsh-Florida             4.01657         product        
